LA,RoadNumber,RoadClass
Galway County Council,L-64501,Local Tertiary
Galway County Council,L-64502,Local Tertiary
Galway County Council,L-6451,Local Secondary
Galway County Council,L-64511,Local Tertiary
Galway County Council,L-6452,Local Secondary
Galway County Council,L-64521,Local Tertiary
Galway County Council,L-6453,Local Secondary
Galway County Council,L-6454,Local Secondary
Galway County Council,L-64541,Local Tertiary
Galway County Council,L-64542,Local Tertiary
Galway County Council,L-6455,Local Secondary
Galway County Council,L-64551,Local Tertiary
Galway County Council,L-6456,Local Secondary
Galway County Council,L-6457,Local Secondary
Galway County Council,L-64571,Local Tertiary
Galway County Council,L-64572,Local Tertiary
Galway County Council,L-64573,Local Tertiary
Galway County Council,L-64574,Local Tertiary
Galway County Council,L-6458,Local Secondary
Galway County Council,L-6459,Local Secondary
Galway County Council,L-64591,Local Tertiary
Galway County Council,L-6460,Local Secondary
Galway County Council,L-64601,Local Tertiary
Galway County Council,L-6461,Local Secondary
Galway County Council,L-64611,Local Tertiary
Galway County Council,L-6462,Local Secondary
Galway County Council,L-6463,Local Secondary
Galway County Council,L-64631,Local Tertiary
Galway County Council,L-6464,Local Secondary
Galway County Council,L-64641,Local Tertiary
Galway County Council,L-64642,Local Tertiary
Galway County Council,L-64643,Local Tertiary
Galway County Council,L-6465,Local Secondary
Galway County Council,L-64651,Local Tertiary
Galway County Council,L-6466,Local Secondary
Galway County Council,L-64661,Local Tertiary
Galway County Council,L-64662,Local Tertiary
Galway County Council,L-64663,Local Tertiary
Galway County Council,L-64664,Local Tertiary
Galway County Council,L-6467,Local Secondary
Galway County Council,L-64671,Local Tertiary
Galway County Council,L-64672,Local Tertiary
Galway County Council,L-6468,Local Secondary
Galway County Council,L-6469,Local Secondary
Galway County Council,L-6470,Local Secondary
Galway County Council,L-64701,Local Tertiary
Galway County Council,L-64702,Local Tertiary
Galway County Council,L-6471,Local Secondary
Galway County Council,L-64711,Local Tertiary
Galway County Council,L-64712,Local Tertiary
Galway County Council,L-6472,Local Secondary
Galway County Council,L-64721,Local Tertiary
Galway County Council,L-6473,Local Secondary
Galway County Council,L-64731,Local Tertiary
Galway County Council,L-6474,Local Secondary
Galway County Council,L-64741,Local Tertiary
Galway County Council,L-64742,Local Tertiary
Galway County Council,L-64743,Local Tertiary
Galway County Council,L-64744,Local Tertiary
Galway County Council,L-6475,Local Secondary
Galway County Council,L-64751,Local Tertiary
Galway County Council,L-64752,Local Tertiary
Galway County Council,L-6476,Local Secondary
Galway County Council,L-64761,Local Tertiary
Galway County Council,L-6477,Local Secondary
Galway County Council,L-6478,Local Secondary
Galway County Council,L-6479,Local Secondary
Galway County Council,L-64791,Local Tertiary
Galway County Council,L-64792,Local Tertiary
Galway County Council,L-6480,Local Secondary
Galway County Council,L-6481,Local Secondary
Galway County Council,L-6482,Local Secondary
Galway County Council,L-6483,Local Secondary
Galway County Council,L-6484,Local Secondary
Galway County Council,L-6485,Local Secondary
Galway County Council,L-6486,Local Secondary
Galway County Council,L-64861,Local Tertiary
Galway County Council,L-64863,Local Tertiary
Galway County Council,L-64864,Local Tertiary
Galway County Council,L-6487,Local Secondary
Galway County Council,L-6488,Local Secondary
Galway County Council,L-64881,Local Tertiary
Galway County Council,L-6489,Local Secondary
Galway County Council,L-64891,Local Tertiary
Galway County Council,L-6490,Local Secondary
Galway County Council,L-64901,Local Tertiary
Galway County Council,L-6491,Local Secondary
Galway County Council,L-6492,Local Secondary
Galway County Council,L-64921,Local Tertiary
Galway County Council,L-64922,Local Tertiary
Galway County Council,L-6493,Local Secondary
Galway County Council,L-6494,Local Secondary
Galway County Council,L-64941,Local Tertiary
Galway County Council,L-64942,Local Tertiary
Galway County Council,L-6495,Local Secondary
Galway County Council,L-6496,Local Secondary
Galway County Council,L-6497,Local Secondary
Galway County Council,L-6498,Local Secondary
Galway County Council,L-64981,Local Tertiary
Galway County Council,L-6499,Local Secondary
Galway County Council,L-64991,Local Tertiary
Galway County Council,L-64992,Local Tertiary
Galway County Council,L-6500,Local Secondary
Galway County Council,L-65001,Local Tertiary
Galway County Council,L-6501,Local Secondary
Galway County Council,L-65011,Local Tertiary
Galway County Council,L-6502,Local Secondary
Galway County Council,L-65021,Local Tertiary
Galway County Council,L-65022,Local Tertiary
Galway County Council,L-65023,Local Tertiary
Galway County Council,L-65025,Local Tertiary
Galway County Council,L-65026,Local Tertiary
Galway County Council,L-6503,Local Secondary
Galway County Council,L-65031,Local Tertiary
Galway County Council,L-6504,Local Secondary
Galway County Council,L-6505,Local Secondary
Galway County Council,L-65051,Local Tertiary
Galway County Council,L-6506,Local Secondary
Galway County Council,L-65061,Local Tertiary
Galway County Council,L-6507,Local Secondary
Galway County Council,L-65071,Local Tertiary
Galway County Council,L-6508,Local Secondary
Galway County Council,L-65081,Local Tertiary
Galway County Council,L-6509,Local Secondary
Galway County Council,L-6510,Local Secondary
Galway County Council,L-6511,Local Secondary
Galway County Council,L-65111,Local Tertiary
Galway County Council,L-6512,Local Secondary
Galway County Council,L-6513,Local Secondary
Galway County Council,L-65131,Local Tertiary
Galway County Council,L-65132,Local Tertiary
Galway County Council,L-65133,Local Tertiary
Galway County Council,L-65134,Local Tertiary
Galway County Council,L-65135,Local Tertiary
Galway County Council,L-65136,Local Tertiary
Galway County Council,L-65137,Local Tertiary
Galway County Council,L-65138,Local Tertiary
Galway County Council,L-65139,Local Tertiary
Galway County Council,L-6514,Local Secondary
Galway County Council,L-65140,Local Tertiary
Galway County Council,L-6515,Local Secondary
Galway County Council,L-65151,Local Tertiary
Galway County Council,L-6516,Local Secondary
Galway County Council,L-65161,Local Tertiary
Galway County Council,L-6517,Local Secondary
Galway County Council,L-65171,Local Tertiary
Galway County Council,L-65172,Local Tertiary
Galway County Council,L-6518,Local Secondary
Galway County Council,L-65181,Local Tertiary
Galway County Council,L-65182,Local Tertiary
Galway County Council,L-65183,Local Tertiary
Galway County Council,L-65184,Local Tertiary
Galway County Council,L-65185,Local Tertiary
Galway County Council,L-6519,Local Secondary
Galway County Council,L-6520,Local Secondary
Galway County Council,L-65201,Local Tertiary
Galway County Council,L-65202,Local Tertiary
Galway County Council,L-6521,Local Secondary
Galway County Council,L-6522,Local Secondary
Galway County Council,L-6523,Local Secondary
Galway County Council,L-6524,Local Secondary
Galway County Council,L-6525,Local Secondary
Galway County Council,L-65251,Local Tertiary
Galway County Council,L-6526,Local Secondary
Galway County Council,L-6527,Local Secondary
Galway County Council,L-65271,Local Tertiary
Galway County Council,L-65272,Local Tertiary
Galway County Council,L-65273,Local Tertiary
Galway County Council,L-65274,Local Tertiary
Galway County Council,L-6528,Local Secondary
Galway County Council,L-6529,Local Secondary
Galway County Council,L-65291,Local Tertiary
Galway County Council,L-65292,Local Tertiary
Galway County Council,L-65293,Local Tertiary
Galway County Council,L-65294,Local Tertiary
Galway County Council,L-65295,Local Tertiary
Galway County Council,L-65296,Local Tertiary
Galway County Council,L-7101,Local Secondary
Galway County Council,L-7102,Local Secondary
Galway County Council,L-71021,Local Tertiary
Galway County Council,L-71022,Local Tertiary
Galway County Council,L-71023,Local Tertiary
Galway County Council,L-71024,Local Tertiary
Galway County Council,L-71025,Local Tertiary
Galway County Council,L-7103,Local Secondary
Galway County Council,L-71031,Local Tertiary
Galway County Council,L-7104,Local Secondary
Galway County Council,L-7105,Local Secondary
Galway County Council,L-71051,Local Tertiary
Galway County Council,L-71052,Local Tertiary
Galway County Council,L-71053,Local Tertiary
Galway County Council,L-7106,Local Secondary
Galway County Council,L-71061,Local Tertiary
Galway County Council,L-71062,Local Tertiary
Galway County Council,L-71063,Local Tertiary
Galway County Council,L-71064,Local Tertiary
Galway County Council,L-71065,Local Tertiary
Galway County Council,L-71066,Local Tertiary
Galway County Council,L-7107,Local Secondary
Galway County Council,L-71072,Local Tertiary
Galway County Council,L-71073,Local Tertiary
Galway County Council,L-7108,Local Secondary
Galway County Council,L-71081,Local Tertiary
Galway County Council,L-71082,Local Tertiary
Galway County Council,L-71083,Local Tertiary
Galway County Council,L-7109,Local Secondary
Galway County Council,L-71091,Local Tertiary
Galway County Council,L-71092,Local Tertiary
Galway County Council,L-71093,Local Tertiary
Galway County Council,L-7110,Local Secondary
Galway County Council,L-71101,Local Tertiary
Galway County Council,L-71102,Local Tertiary
Galway County Council,L-71104,Local Tertiary
Galway County Council,L-71105,Local Tertiary
Galway County Council,L-71106,Local Tertiary
Galway County Council,L-71107,Local Tertiary
Galway County Council,L-71108,Local Tertiary
Galway County Council,L-71109,Local Tertiary
Galway County Council,L-7111,Local Secondary
Galway County Council,L-71113,Local Tertiary
Galway County Council,L-71114,Local Tertiary
Galway County Council,L-71115,Local Tertiary
Galway County Council,L-71116,Local Tertiary
Galway County Council,L-71117,Local Tertiary
Galway County Council,L-71118,Local Tertiary
Galway County Council,L-71119,Local Tertiary
Galway County Council,L-7112,Local Secondary
Galway County Council,L-71121,Local Tertiary
Galway County Council,L-7113,Local Secondary
Galway County Council,L-71131,Local Tertiary
Galway County Council,L-7114,Local Secondary
Galway County Council,L-71149,Local Tertiary
Galway County Council,L-7115,Local Secondary
Galway County Council,L-71151,Local Tertiary
Galway County Council,L-71152,Local Tertiary
Galway County Council,L-71153,Local Tertiary
Galway County Council,L-7116,Local Secondary
Galway County Council,L-7117,Local Secondary
Galway County Council,L-71171,Local Tertiary
Galway County Council,L-71172,Local Tertiary
Galway County Council,L-7118,Local Secondary
Galway County Council,L-71181,Local Tertiary
Galway County Council,L-71182,Local Tertiary
Galway County Council,L-71183,Local Tertiary
Galway County Council,L-7119,Local Secondary
Galway County Council,L-71191,Local Tertiary
Galway County Council,L-71192,Local Tertiary
Galway County Council,L-71193,Local Tertiary
Galway County Council,L-7120,Local Secondary
Galway County Council,L-71201,Local Tertiary
Galway County Council,L-71202,Local Tertiary
Galway County Council,L-71203,Local Tertiary
Galway County Council,L-71204,Local Tertiary
Galway County Council,L-71206,Local Tertiary
Galway County Council,L-71208,Local Tertiary
Galway County Council,L-71209,Local Tertiary
Galway County Council,L-7121,Local Secondary
Galway County Council,L-7122,Local Secondary
Galway County Council,L-71221,Local Tertiary
Galway County Council,L-71222,Local Tertiary
Galway County Council,L-71223,Local Tertiary
Galway County Council,L-71224,Local Tertiary
Galway County Council,L-7123,Local Secondary
Galway County Council,L-7124,Local Secondary
Galway County Council,L-71241,Local Tertiary
Galway County Council,L-71242,Local Tertiary
